epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6101,1.7876,2.96252,2.02959,0.75866,0.71394,0.73304,0.37779,1.71214,2.56808,2.96146,0.000541044,0.000541044,0.000541044
2,39.4837,1.77089,1.67116,1.86727,0.01479,0.1242,0.02096,0.00368,3.3822,136.413,5.17944,0.00106957,0.00106957,0.00106957
3,56.9304,1.71743,1.54594,1.89102,0.03699,0.04407,0.00736,0.0015,4.31321,16.8451,5.00846,0.00157058,0.00157058,0.00157058
4,74.583,1.74052,1.56557,1.88518,0.04087,0.17308,0.02134,0.00556,3.84452,94.1703,6.17427,0.00154323,0.00154323,0.00154323
5,94.012,1.75826,1.5152,1.85461,0.10917,0.31714,0.14656,0.06073,3.22673,7.20753,3.94783,0.00150197,0.00150197,0.00150197
6,111.375,1.71053,1.31168,1.80972,0.34817,0.16266,0.16121,0.0564,2.81712,5.35914,3.56033,0.00146071,0.00146071,0.00146071
7,128.81,1.6738,1.33212,1.77928,0.94326,0.72946,0.79727,0.47037,1.57832,1.12055,2.38913,0.00141945,0.00141945,0.00141945
8,147.503,1.69317,1.37079,1.78534,0.70214,0.54006,0.58347,0.35337,1.44642,1.92692,2.40675,0.00137819,0.00137819,0.00137819
9,164.825,1.57141,1.28875,1.76074,0.68787,0.72896,0.6933,0.28114,2.00193,1.76967,2.74629,0.00133693,0.00133693,0.00133693
10,182.705,1.61003,1.18762,1.72296,0.89955,0.63631,0.73353,0.33367,1.96251,1.79137,2.93012,0.00129568,0.00129568,0.00129568
11,200.591,1.61608,1.18803,1.73116,0.91083,0.77003,0.7916,0.46691,1.48464,1.03394,2.42397,0.00125442,0.00125442,0.00125442
12,217.909,1.54372,1.10952,1.71674,0.53331,0.43133,0.4272,0.21678,2.51464,1.91998,3.18938,0.00121316,0.00121316,0.00121316
13,236.012,1.60859,1.16532,1.73023,0.90167,0.67883,0.77089,0.42968,1.47827,0.97667,2.36636,0.0011719,0.0011719,0.0011719
14,253.692,1.53602,1.17984,1.73305,0.9271,0.77648,0.80248,0.50486,1.37082,0.8928,2.36704,0.00113064,0.00113064,0.00113064
15,270.882,1.521,1.17346,1.70913,0.92836,0.77885,0.83364,0.50596,1.30509,0.78626,2.202,0.00108938,0.00108938,0.00108938
